[Branch 1 | Profundidade 1] Job 0 - Op 0 | Máquina: 0 | Início: 0 | Fim: 3 | Makespan parcial: 3
[Branch 2 | Profundidade 2] Job 0 - Op 1 | Máquina: 1 | Início: 3 | Fim: 5 | Makespan parcial: 5
[Branch 3 | Profundidade 3] Job 0 - Op 2 | Máquina: 2 | Início: 5 | Fim: 7 | Makespan parcial: 7
[Branch 4 | Profundidade 4] Job 1 - Op 0 | Máquina: 0 | Início: 3 | Fim: 5 | Makespan parcial: 7
[Branch 5 | Profundidade 5] Job 1 - Op 1 | Máquina: 2 | Início: 7 | Fim: 8 | Makespan parcial: 8
[Branch 6 | Profundidade 6] Job 1 - Op 2 | Máquina: 1 | Início: 8 | Fim: 12 | Makespan parcial: 12
[Branch 7 | Profundidade 7] Job 2 - Op 0 | Máquina: 1 | Início: 12 | Fim: 16 | Makespan parcial: 16
[Branch 8 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 16 | Fim: 19 | Makespan parcial: 19
[Branch 9 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 19 | Fim: 20 | Makespan parcial: 20
[Branch 10 | Profundidade 6] Job 2 - Op 0 | Máquina: 1 | Início: 5 | Fim: 9 | Makespan parcial: 9
[Branch 11 | Profundidade 7] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 12 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 13
[Branch 13 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 14 | Profundidade 7] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 15 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 16 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 17 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 18 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 19 | Profundidade 5] Job 2 - Op 0 | Máquina: 1 | Início: 5 | Fim: 9 | Makespan parcial: 9
[Branch 20 | Profundidade 6] Job 1 - Op 1 | Máquina: 2 | Início: 7 | Fim: 8 | Makespan parcial: 9
[Branch 21 | Profundidade 7] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 22 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 13
[Branch 23 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 24 | Profundidade 7] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 25 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 26 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 27 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 28 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 29 | Profundidade 6] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 30 | Profundidade 7] Job 1 - Op 1 | Máquina: 2 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 31 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 32 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 17
[Branch 33 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 34 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 35 | Profundidade 7] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 36 | Profundidade 8] Job 1 - Op 1 | Máquina: 2 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 37 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 38 | Profundidade 4] Job 2 - Op 0 | Máquina: 1 | Início: 5 | Fim: 9 | Makespan parcial: 9
[Branch 39 | Profundidade 5] Job 1 - Op 0 | Máquina: 0 | Início: 3 | Fim: 5 | Makespan parcial: 9
[Branch 40 | Profundidade 6] Job 1 - Op 1 | Máquina: 2 | Início: 7 | Fim: 8 | Makespan parcial: 9
[Branch 41 | Profundidade 7] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 42 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 13
[Branch 43 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 44 | Profundidade 7] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 45 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 46 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 47 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 48 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 49 | Profundidade 6] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 50 | Profundidade 7] Job 1 - Op 1 | Máquina: 2 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 51 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
